,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region,month,season,gasoline_price,crude_price,Day
42,2015-01-04,1.72,593.39,0.0,102.71,0.0,490.68,490.68,0.0,0.0,organic,2015,Syracuse,1,winter,3.299,92.22000000000001,4
43,2015-01-04,1.2,221086.46,53316.16,72178.46,39928.01,55663.83,44040.64,11623.19,0.0,conventional,2015,RaleighGreensboro,1,winter,3.299,92.22000000000001,4
44,2015-01-04,1.39,4414.29,56.21,2760.82,0.0,1597.26,1139.42,457.84,0.0,organic,2015,Roanoke,1,winter,3.299,92.22000000000001,4
45,2015-01-04,1.12,17296.85,14569.66,1868.59,0.0,858.6,830.0,28.6,0.0,organic,2015,PhoenixTucson,1,winter,3.299,92.22000000000001,4
46,2015-01-04,1.7,7446.43,361.76,5025.58,0.0,2059.09,746.43,1312.66,0.0,organic,2015,Detroit,1,winter,3.299,92.22000000000001,4
47,2015-01-04,1.13,182697.97,56293.75,80396.09,9762.41,36245.72,31778.36,4467.36,0.0,conventional,2015,RichmondNorfolk,1,winter,3.299,92.22000000000001,4
48,2015-01-04,0.85,2682159.95,1837999.65,524430.47,64225.78,255504.05,215571.8,36981.72,2950.53,conventional,2015,LosAngeles,1,winter,3.299,92.22000000000001,4
49,2015-01-04,1.02,160130.15,4007.41,118435.79,1201.5,36485.45,20325.41,16160.04,0.0,conventional,2015,Indianapolis,1,winter,3.299,92.22000000000001,4
50,2015-01-04,1.3,5782.7,723.29,4221.15,0.0,838.26,223.33,614.93,0.0,organic,2015,Spokane,1,winter,3.299,92.22000000000001,4
51,2015-01-04,1.01,309024.22,180977.06,46253.49,12923.45,68870.22,52556.0,16314.22,0.0,conventional,2015,SouthCarolina,1,winter,3.299,92.22000000000001,4
52,2015-01-04,1.0,84612.39,26607.29,44341.92,3660.64,10002.54,9556.06,446.48,0.0,conventional,2015,Spokane,1,winter,3.299,92.22000000000001,4
53,2015-01-04,1.68,2896.72,161.68,206.96,0.0,2528.08,2528.08,0.0,0.0,organic,2015,HarrisburgScranton,1,winter,3.299,92.22000000000001,4
54,2015-01-04,1.08,788025.06,53987.31,552906.04,39995.03,141136.68,137146.07,3990.61,0.0,conventional,2015,BaltimoreWashington,1,winter,3.299,92.22000000000001,4
55,2015-01-04,1.15,198735.26,125713.89,34555.73,53.54,38412.1,38400.99,11.11,0.0,conventional,2015,StLouis,1,winter,3.299,92.22000000000001,4
56,2015-01-04,1.25,54495.54,47721.51,1723.4,0.0,5050.63,5050.63,0.0,0.0,organic,2015,LosAngeles,1,winter,3.299,92.22000000000001,4
57,2015-01-04,1.73,379.82,0.0,59.82,0.0,320.0,320.0,0.0,0.0,organic,2015,BuffaloRochester,1,winter,3.299,92.22000000000001,4
58,2015-01-04,1.33,41143.51,2506.61,20905.01,16.68,17715.21,17715.21,0.0,0.0,conventional,2015,Syracuse,1,winter,3.299,92.22000000000001,4
59,2015-01-04,0.97,339909.13,226346.7,37517.53,53.15,75991.75,33447.51,42544.24,0.0,conventional,2015,Tampa,1,winter,3.299,92.22000000000001,4
60,2015-01-04,1.05,203939.14,32679.84,121020.54,1286.19,48952.57,47583.64,1368.93,0.0,conventional,2015,HarrisburgScranton,1,winter,3.299,92.22000000000001,4
61,2015-01-04,0.75,758118.95,426878.87,147958.43,15267.89,168013.76,165202.22,2811.54,0.0,conventional,2015,WestTexNewMexico,1,winter,3.299,92.22000000000001,4
62,2015-01-04,1.86,3351.76,355.79,754.78,439.19,1802.0,1768.67,33.33,0.0,organic,2015,SouthCarolina,1,winter,3.299,92.22000000000001,4
63,2015-01-04,1.48,1395.75,12.41,824.64,0.0,558.7,478.15,80.55,0.0,organic,2015,Louisville,1,winter,3.299,92.22000000000001,4
64,2015-01-04,1.82,2288.44,1438.04,53.73,0.0,796.67,796.67,0.0,0.0,organic,2015,MiamiFtLauderdale,1,winter,3.299,92.22000000000001,4
65,2015-01-04,1.11,783068.03,30270.26,550752.19,124506.1,77539.48,72888.46,4651.02,0.0,conventional,2015,Chicago,1,winter,3.299,92.22000000000001,4
66,2015-01-04,1.81,1381.31,803.33,47.67,6.98,523.33,523.33,0.0,0.0,organic,2015,Jacksonville,1,winter,3.299,92.22000000000001,4
67,2015-01-04,1.13,109215.0,48285.15,37562.78,34.1,23332.97,21582.97,1750.0,0.0,conventional,2015,Roanoke,1,winter,3.299,92.22000000000001,4
68,2015-01-04,0.71,1062990.62,506426.58,436347.57,4378.92,115837.55,90299.85,25537.7,0.0,conventional,2015,Houston,1,winter,3.299,92.22000000000001,4
69,2015-01-04,1.54,4212.16,238.48,1678.83,372.55,1922.3,1570.28,352.02,0.0,organic,2015,RichmondNorfolk,1,winter,3.299,92.22000000000001,4
70,2015-01-04,1.76,3846.69,1500.15,938.35,0.0,1408.19,1071.35,336.84,0.0,organic,2015,Atlanta,1,winter,3.299,92.22000000000001,4
71,2015-01-04,0.8,317861.35,134003.07,120628.37,4591.23,58638.68,58126.59,512.09,0.0,conventional,2015,LasVegas,1,winter,3.299,92.22000000000001,4
72,2015-01-04,1.29,19137.28,8040.64,6557.47,657.48,3881.69,3881.69,0.0,0.0,organic,2015,BaltimoreWashington,1,winter,3.299,92.22000000000001,4
73,2015-01-04,2.01,3397.0,58.22,1493.9,772.21,1072.67,993.94,78.73,0.0,organic,2015,RaleighGreensboro,1,winter,3.299,92.22000000000001,4
74,2015-01-04,1.23,19089.36,17522.46,735.22,2.87,828.81,828.81,0.0,0.0,organic,2015,SanDiego,1,winter,3.299,92.22000000000001,4
75,2015-01-04,0.88,228569.58,3274.3,168764.78,1447.06,55083.44,17525.31,37445.46,112.67,conventional,2015,CincinnatiDayton,1,winter,3.299,92.22000000000001,4
76,2015-01-04,1.28,32927.82,17580.96,11685.08,3.15,3658.63,613.33,3045.3,0.0,organic,2015,Portland,1,winter,3.299,92.22000000000001,4
77,2015-01-04,1.42,22480.07,3199.35,6916.72,7.56,12356.44,1076.67,11279.77,0.0,organic,2015,Denver,1,winter,3.299,92.22000000000001,4
78,2015-01-04,1.01,80034.32,44562.12,24964.23,2752.35,7755.62,6064.3,1691.32,0.0,conventional,2015,Boise,1,winter,3.299,92.22000000000001,4
79,2015-01-04,1.34,8764.33,144.47,6921.75,0.0,1698.11,585.96,1112.15,0.0,organic,2015,CincinnatiDayton,1,winter,3.299,92.22000000000001,4
80,2015-01-04,1.84,3966.0,244.34,2700.02,76.21,945.43,838.34,107.09,0.0,organic,2015,Nashville,1,winter,3.299,92.22000000000001,4
81,2015-01-04,0.95,258979.63,1097.0,189348.6,22612.46,45921.57,43899.46,1097.68,924.43,conventional,2015,GrandRapids,1,winter,3.299,92.22000000000001,4
82,2015-01-04,1.5,6329.83,3730.8,2141.91,0.0,457.12,426.67,30.45,0.0,organic,2015,LasVegas,1,winter,3.299,92.22000000000001,4
83,2015-01-04,0.99,907795.89,179507.69,637000.1,8803.79,82484.31,82033.71,444.44,6.16,conventional,2015,SanFrancisco,1,winter,3.299,92.22000000000001,4
84,2015-01-04,0.97,153506.84,105203.79,19147.78,468.7,28686.57,13653.15,15033.42,0.0,conventional,2015,Jacksonville,1,winter,3.299,92.22000000000001,4
85,2015-01-04,0.94,461607.33,244152.26,165299.33,15302.75,36852.99,30884.29,5595.0,373.7,conventional,2015,SanDiego,1,winter,3.299,92.22000000000001,4
86,2015-01-04,1.8,3597.07,1552.48,1521.26,0.0,523.33,523.33,0.0,0.0,organic,2015,StLouis,1,winter,3.299,92.22000000000001,4
87,2015-01-04,1.05,430138.88,110693.69,270107.61,9737.5,39600.08,39600.08,0.0,0.0,conventional,2015,Sacramento,1,winter,3.299,92.22000000000001,4
88,2015-01-04,0.97,634522.34,165839.16,341836.86,15291.36,111554.96,96695.27,14859.69,0.0,conventional,2015,Seattle,1,winter,3.299,92.22000000000001,4
89,2015-01-04,1.0,435021.49,364302.39,23821.16,82.15,46815.79,16707.15,30108.64,0.0,conventional,2015,Atlanta,1,winter,3.299,92.22000000000001,4
90,2015-01-11,1.25,138617.04,3024.88,100509.97,1771.71,33310.48,18466.87,14765.56,78.05,conventional,2015,Indianapolis,1,winter,3.207,90.18599999999999,11
91,2015-01-11,1.47,5128.06,82.94,4065.47,0.0,979.65,806.48,173.17,0.0,organic,2015,Roanoke,1,winter,3.207,90.18599999999999,11
92,2015-01-11,1.06,527350.82,144349.43,278069.43,18076.48,86855.48,81221.3,5632.65,1.53,conventional,2015,Seattle,1,winter,3.207,90.18599999999999,11
93,2015-01-11,1.54,6144.55,4027.3,2083.92,0.0,33.33,33.33,0.0,0.0,organic,2015,LasVegas,1,winter,3.207,90.18599999999999,11
94,2015-01-11,1.66,762.15,1.24,195.51,0.0,565.4,565.4,0.0,0.0,organic,2015,Syracuse,1,winter,3.207,90.18599999999999,11
95,2015-01-11,1.44,2378.68,0.0,1923.4,0.0,455.28,170.0,285.28,0.0,organic,2015,Boise,1,winter,3.207,90.18599999999999,11
96,2015-01-11,1.24,41195.08,1002.85,31640.34,127.12,8424.77,8036.04,388.73,0.0,conventional,2015,Albany,1,winter,3.207,90.18599999999999,11
97,2015-01-11,1.54,54644.32,1491.88,33759.12,1325.17,18068.15,12165.94,5902.21,0.0,conventional,2015,Pittsburgh,1,winter,3.207,90.18599999999999,11
98,2015-01-11,1.84,3743.82,1613.69,1207.72,0.0,922.41,865.0,57.41,0.0,organic,2015,Atlanta,1,winter,3.207,90.18599999999999,11
99,2015-01-11,1.87,761.86,29.06,539.72,0.0,193.08,190.0,3.08,0.0,organic,2015,GrandRapids,1,winter,3.207,90.18599999999999,11
100,2015-01-11,0.92,201392.27,3612.86,153100.22,1203.53,43475.66,17035.73,26345.43,94.5,conventional,2015,CincinnatiDayton,1,winter,3.207,90.18599999999999,11
101,2015-01-11,1.44,1492.44,233.3,15.81,0.0,1243.33,1243.33,0.0,0.0,organic,2015,NewOrleansMobile,1,winter,3.207,90.18599999999999,11
102,2015-01-11,0.78,1062071.65,463272.52,441785.8,4094.47,152918.86,126995.76,25923.1,0.0,conventional,2015,Houston,1,winter,3.207,90.18599999999999,11
103,2015-01-11,1.29,202034.59,119336.02,39236.11,52.44,43410.02,18762.45,24647.57,0.0,conventional,2015,Orlando,1,winter,3.207,90.18599999999999,11
104,2015-01-11,1.08,332165.05,108378.69,90104.73,76985.0,56696.63,48639.13,620.82,7436.68,conventional,2015,Detroit,1,winter,3.207,90.18599999999999,11
105,2015-01-11,2.03,14817.97,1744.44,10901.43,60.93,2111.17,2111.17,0.0,0.0,organic,2015,NewYork,1,winter,3.207,90.18599999999999,11
106,2015-01-11,1.88,6485.3,1.13,590.02,0.0,5894.15,5894.15,0.0,0.0,organic,2015,NorthernNewEngland,1,winter,3.207,90.18599999999999,11
107,2015-01-11,1.84,1258.62,814.13,44.49,0.0,400.0,400.0,0.0,0.0,organic,2015,Tampa,1,winter,3.207,90.18599999999999,11
108,2015-01-11,1.16,113235.82,45706.36,37629.54,57.82,29842.1,26555.99,3286.11,0.0,conventional,2015,Roanoke,1,winter,3.207,90.18599999999999,11
109,2015-01-11,0.61,1110753.05,849580.75,182629.59,12237.43,66305.28,66305.28,0.0,0.0,conventional,2015,PhoenixTucson,1,winter,3.207,90.18599999999999,11
110,2015-01-11,1.03,916450.76,155455.32,670522.75,4107.26,86365.43,85706.54,658.89,0.0,conventional,2015,SanFrancisco,1,winter,3.207,90.18599999999999,11
111,2015-01-11,1.24,205760.67,43986.78,54185.12,41272.69,66316.08,50818.2,15497.88,0.0,conventional,2015,RaleighGreensboro,1,winter,3.207,90.18599999999999,11
112,2015-01-11,0.93,274481.48,126092.05,101653.19,9591.88,37144.36,36874.44,269.92,0.0,conventional,2015,LasVegas,1,winter,3.207,90.18599999999999,11
113,2015-01-11,1.46,46687.01,8691.73,33361.78,13.48,4620.02,223.33,4396.69,0.0,organic,2015,Seattle,1,winter,3.207,90.18599999999999,11
114,2015-01-11,1.1,279706.73,162428.39,39713.75,14197.05,63367.54,44864.96,18502.58,0.0,conventional,2015,SouthCarolina,1,winter,3.207,90.18599999999999,11
115,2015-01-11,0.85,2713699.6,1786326.65,617233.39,58892.91,251246.65,222971.68,25111.74,3163.23,conventional,2015,LosAngeles,1,winter,3.207,90.18599999999999,11
116,2015-01-11,1.05,510152.67,121596.43,292968.56,22743.24,72844.44,64831.61,8012.83,0.0,conventional,2015,Portland,1,winter,3.207,90.18599999999999,11
117,2015-01-11,2.28,3463.61,79.31,3190.97,0.0,193.33,193.33,0.0,0.0,organic,2015,HartfordSpringfield,1,winter,3.207,90.18599999999999,11
118,2015-01-11,1.07,70697.07,21973.57,35996.7,4131.75,8595.05,6899.1,1695.95,0.0,conventional,2015,Spokane,1,winter,3.207,90.18599999999999,11
119,2015-01-11,1.35,12126.63,7136.34,1353.62,0.0,3636.67,3636.67,0.0,0.0,organic,2015,DallasFtWorth,1,winter,3.207,90.18599999999999,11
120,2015-01-11,1.26,7561.0,6142.35,818.65,0.0,600.0,600.0,0.0,0.0,organic,2015,Houston,1,winter,3.207,90.18599999999999,11
121,2015-01-11,2.29,2390.22,155.92,969.82,832.7,431.78,431.78,0.0,0.0,organic,2015,Charlotte,1,winter,3.207,90.18599999999999,11
122,2015-01-11,1.05,75129.36,2299.74,53313.74,237.88,19278.0,7964.88,11299.66,13.46,conventional,2015,Louisville,1,winter,3.207,90.18599999999999,11
123,2015-01-11,1.91,1248.89,978.49,24.55,5.85,240.0,240.0,0.0,0.0,organic,2015,Jacksonville,1,winter,3.207,90.18599999999999,11
124,2015-01-11,1.38,4780.87,1159.37,3192.62,1.83,427.05,140.0,287.05,0.0,organic,2015,Spokane,1,winter,3.207,90.18599999999999,11
125,2015-01-11,1.32,11313.77,209.52,10352.17,0.0,752.08,310.62,441.46,0.0,organic,2015,CincinnatiDayton,1,winter,3.207,90.18599999999999,11
126,2015-01-11,1.84,3762.18,1908.7,1590.15,0.0,263.33,263.33,0.0,0.0,organic,2015,StLouis,1,winter,3.207,90.18599999999999,11
127,2015-01-11,1.09,429492.28,109368.41,271300.08,5094.23,43729.56,43722.89,6.67,0.0,conventional,2015,Sacramento,1,winter,3.207,90.18599999999999,11
128,2015-01-11,1.26,159942.68,31586.35,38118.77,40801.77,49435.79,38822.26,10613.53,0.0,conventional,2015,Charlotte,1,winter,3.207,90.18599999999999,11
129,2015-01-11,0.82,544667.18,303369.02,192913.11,12900.65,35484.4,31807.96,3271.85,404.59,conventional,2015,SanDiego,1,winter,3.207,90.18599999999999,11
130,2015-01-11,1.11,397542.72,330411.24,18958.22,1135.18,47038.08,21309.61,25728.47,0.0,conventional,2015,Atlanta,1,winter,3.207,90.18599999999999,11
131,2015-01-11,1.2,99757.17,57635.74,17025.48,529.41,24566.54,14862.7,9703.84,0.0,conventional,2015,Jacksonville,1,winter,3.207,90.18599999999999,11
132,2015-01-11,1.27,7598.26,4243.14,3033.84,0.0,321.28,321.28,0.0,0.0,organic,2015,Sacramento,1,winter,3.207,90.18599999999999,11
133,2015-01-11,1.15,194460.59,71743.11,66849.97,10952.11,44915.4,36160.54,8754.86,0.0,conventional,2015,RichmondNorfolk,1,winter,3.207,90.18599999999999,11
134,2015-01-11,1.68,4193.17,349.17,3226.58,0.0,617.42,416.25,201.17,0.0,organic,2015,Columbus,1,winter,3.207,90.18599999999999,11
135,2015-01-11,1.28,30682.77,8855.89,15070.85,24.8,6731.23,1699.95,5031.28,0.0,organic,2015,Denver,1,winter,3.207,90.18599999999999,11
136,2015-01-11,1.07,149832.2,103822.6,9098.86,11665.78,25244.96,22478.92,2766.04,0.0,conventional,2015,Nashville,1,winter,3.207,90.18599999999999,11
137,2015-01-11,1.29,164917.61,79292.59,41050.38,62.72,44511.92,44509.7,2.22,0.0,conventional,2015,StLouis,1,winter,3.207,90.18599999999999,11
138,2015-01-11,0.97,239232.35,165505.1,10680.54,231.54,62815.17,59593.91,3221.26,0.0,conventional,2015,NewOrleansMobile,1,winter,3.207,90.18599999999999,11
139,2015-01-11,1.08,60232.63,52087.31,2063.44,0.0,6081.88,6081.88,0.0,0.0,organic,2015,LosAngeles,1,winter,3.207,90.18599999999999,11
140,2015-01-11,1.65,3882.88,90.15,288.15,0.0,3504.58,3504.58,0.0,0.0,organic,2015,HarrisburgScranton,1,winter,3.207,90.18599999999999,11
141,2015-01-11,1.54,106221.32,1642.25,50985.2,79.61,53514.26,53514.26,0.0,0.0,conventional,2015,BuffaloRochester,1,winter,3.207,90.18599999999999,11
142,2015-01-11,1.38,232640.15,4365.27,143001.84,223.15,85049.89,83319.8,1730.09,0.0,conventional,2015,HartfordSpringfield,1,winter,3.207,90.18599999999999,11
143,2015-01-11,1.59,2078.49,0.0,143.51,0.0,1934.98,1934.98,0.0,0.0,organic,2015,BuffaloRochester,1,winter,3.207,90.18599999999999,11
144,2015-01-11,1.87,6926.75,417.73,5637.76,0.0,871.26,329.5,541.76,0.0,organic,2015,Detroit,1,winter,3.207,90.18599999999999,11
145,2015-01-11,1.26,178735.25,34535.57,78778.96,582.3,64838.42,63840.09,998.33,0.0,conventional,2015,HarrisburgScranton,1,winter,3.207,90.18599999999999,11
146,2015-01-11,1.24,235231.08,142237.71,36017.93,56.25,56919.19,19605.39,37313.8,0.0,conventional,2015,Tampa,1,winter,3.207,90.18599999999999,11
147,2015-01-11,1.83,1410.31,95.46,921.79,0.0,393.06,357.75,35.31,0.0,organic,2015,Indianapolis,1,winter,3.207,90.18599999999999,11
148,2015-01-11,1.66,2914.35,143.78,2060.44,270.92,439.21,412.81,26.4,0.0,organic,2015,RichmondNorfolk,1,winter,3.207,90.18599999999999,11
149,2015-01-11,1.18,57355.52,38112.34,10997.54,3321.89,4923.75,3295.11,1628.64,0.0,conventional,2015,Boise,1,winter,3.207,90.18599999999999,11
150,2015-01-11,1.03,185135.41,972.96,127984.25,13798.9,42379.3,39193.44,2896.97,288.89,conventional,2015,GrandRapids,1,winter,3.207,90.18599999999999,11
151,2015-01-11,1.38,315984.22,14323.61,198387.14,1715.41,101558.06,88980.0,12578.06,0.0,conventional,2015,Philadelphia,1,winter,3.207,90.18599999999999,11
152,2015-01-11,1.85,1614.56,1091.28,49.95,0.0,473.33,473.33,0.0,0.0,organic,2015,MiamiFtLauderdale,1,winter,3.207,90.18599999999999,11
153,2015-01-11,2.06,2304.3,474.97,793.53,357.87,677.93,674.61,3.32,0.0,organic,2015,SouthCarolina,1,winter,3.207,90.18599999999999,11
154,2015-01-11,1.79,1435.48,0.0,1219.02,0.0,216.46,173.93,42.53,0.0,organic,2015,Louisville,1,winter,3.207,90.18599999999999,11
155,2015-01-11,1.05,20089.52,18294.44,767.68,1.44,1025.96,1025.96,0.0,0.0,organic,2015,SanDiego,1,winter,3.207,90.18599999999999,11
156,2015-01-11,1.17,670231.94,51460.64,420837.82,42526.96,155406.52,151330.87,4075.65,0.0,conventional,2015,BaltimoreWashington,1,winter,3.207,90.18599999999999,11
157,2015-01-11,1.15,802874.94,31239.94,558487.79,133848.57,79298.64,74716.43,4539.25,42.96,conventional,2015,Chicago,1,winter,3.207,90.18599999999999,11
158,2015-01-11,1.28,342796.99,242922.42,36043.54,38.69,63792.34,35069.71,28722.63,0.0,conventional,2015,MiamiFtLauderdale,1,winter,3.207,90.18599999999999,11
159,2015-01-11,1.69,6861.73,1822.28,2377.54,0.0,2661.91,2656.66,5.25,0.0,organic,2015,WestTexNewMexico,1,winter,3.207,90.18599999999999,11
160,2015-01-11,1.09,666579.35,110974.25,427723.2,5357.69,122524.21,85793.27,36703.98,26.96,conventional,2015,Denver,1,winter,3.207,90.18599999999999,11
161,2015-01-11,0.92,584896.99,347125.63,129717.42,27944.07,80109.87,78503.46,1606.41,0.0,conventional,2015,WestTexNewMexico,1,winter,3.207,90.18599999999999,11
162,2015-01-11,1.92,1610.6,1290.27,53.66,0.0,266.67,266.67,0.0,0.0,organic,2015,Orlando,1,winter,3.207,90.18599999999999,11
163,2015-01-11,1.22,26008.88,12258.26,7094.53,490.24,6165.85,6165.85,0.0,0.0,organic,2015,BaltimoreWashington,1,winter,3.207,90.18599999999999,11
164,2015-01-11,1.77,1182.56,39.0,305.12,0.0,838.44,838.44,0.0,0.0,organic,2015,Albany,1,winter,3.207,90.18599999999999,11
165,2015-01-11,1.98,3862.72,31.58,1957.67,672.88,1200.59,1195.75,4.84,0.0,organic,2015,RaleighGreensboro,1,winter,3.207,90.18599999999999,11
166,2015-01-11,0.76,1128693.04,680572.11,348535.22,11900.83,87684.88,67857.83,19801.95,25.1,conventional,2015,DallasFtWorth,1,winter,3.207,90.18599999999999,11
167,2015-01-11,1.06,314717.03,4578.25,265252.09,22.9,44863.79,44863.79,0.0,0.0,conventional,2015,NorthernNewEngland,1,winter,3.207,90.18599999999999,11
